nyelvid	szemelyid
1	1
18	1
50	1
67	1
4	2
53	2
99	2
111	2
2	3
19	3
51	3
68	3
1	4
31	4
49	4
50	4
80	4
98	4
1	5
17	5
30	5
50	5
66	5
79	5
3	6
24	6
52	6
73	6
4	7
53	7
3	8
29	8
52	8
78	8
100	8
112	8
5	9
54	9
11	10
60	10
6	11
21	11
23	33
55	11
70	11
72	11
5	12
22	12
54	12
71	12
7	13
56	13
2	14
51	14
1	15
50	15
12	16
61	16
1	17
50	17
13	18
62	18
1	19
50	19
2	20
51	20
14	21
63	21
4	22
53	22
4	23
20	23
53	23
69	23
14	24
63	24
8	25
57	25
4	26
53	26
2	27
16	27
51	27
65	27
15	28
64	28
2	29
51	29
8	30
25	30
57	30
74	30
2	31
51	31
9	32
58	32
1	33
50	33
10	34
59	34
1	35
50	35
26	36
75	36
27	37
76	37
28	38
77	38
32	39
81	39
33	40
82	40
34	41
83	41
35	42
84	42
36	43
85	43
37	44
86	44
38	45
87	45
39	46
88	46
40	47
89	47
41	48
90	48
42	49
91	49
43	50
92	50
44	51
93	51
45	52
94	52
46	53
95	53
47	54
96	54
48	55
97	55
101	56
113	56
102	57
114	57
103	58
115	58
104	59
116	59
105	60
117	60
106	61
118	61
107	62
119	62
108	63
120	63
109	64
121	64
110	65
122	65
123	66
134	66
124	67
135	67
125	68
136	68
126	69
137	69
127	70
138	70
128	71
139	71
129	72
140	72
130	73
141	73
131	74
142	74
132	75
143	75
133	76
144	76
