diakid	munkaid	ervenyes	elfogadva	teljesitve
384	5968	1	1	0
179	5983	1	1	1
375	5953	0	0	0
375	6003	1	1	1
160	6005	1	1	1
342	5954	1	0	0
387	5964	1	1	1
60	5989	1	1	1
60	6004	1	1	1
192	5997	1	0	0
329	5999	1	1	1
387	5969	1	1	1
387	5955	1	1	1
233	6014	1	1	1
233	5985	1	0	0
311	5949	1	1	1
311	5950	1	1	1
161	6043	1	1	1
161	6042	1	1	1
161	6041	0	0	0
161	6044	1	1	1
161	6046	1	0	0
161	6045	1	1	1
161	6048	1	1	1
161	6047	1	1	1
161	6049	1	1	1
174	5984	1	1	1
174	5959	1	1	1
174	5960	1	1	1
111	5975	0	0	0
111	5956	1	0	0
111	5981	1	1	1
39	5995	1	0	0
276	5951	1	1	1
276	6006	1	1	1
276	5972	1	0	0
276	6002	1	1	1
276	5965	1	1	1
276	5970	1	1	1
60	6000	1	1	1
60	5990	1	1	1
60	6015	1	1	1
251	6164	1	1	1
69	6164	1	1	1
5	6164	0	0	0
302	6164	1	1	1
231	6164	1	1	1
316	6164	1	1	1
316	6163	1	1	1
5	6163	1	1	1
302	6163	1	1	0
69	6163	1	1	1
251	6163	0	0	0
231	6163	1	1	1
69	6166	1	1	1
5	6166	1	1	1
302	6166	1	1	1
316	6166	1	1	1
231	6166	1	1	1
251	6166	1	1	1
69	6165	1	1	1
5	6165	1	1	1
302	6165	1	1	1
316	6165	1	1	1
231	6165	0	0	0
251	6165	1	1	1
69	6170	1	1	1
5	6170	1	1	1
302	6170	1	1	1
316	6170	1	1	1
231	6170	1	1	1
251	6170	1	1	1
69	6169	1	1	1
5	6169	1	1	1
302	6169	1	1	1
316	6169	1	1	1
231	6169	1	1	1
251	6169	1	1	1
125	6116	1	1	1
78	6198	1	1	1
146	6123	1	1	1
146	6118	1	1	1
146	6124	1	1	1
314	6118	1	1	1
314	6123	1	1	1
314	6124	1	1	1
356	6119	0	0	0
356	6125	1	1	1
78	6217	1	1	1
361	6217	1	1	1
245	6217	1	1	0
380	6220	1	1	1
15	6167	1	1	1
62	6167	1	1	1
15	6220	1	1	1
62	6220	1	1	1
15	6218	1	1	1
62	6218	1	1	1
417	6220	1	1	1
355	6218	1	1	1
251	6168	1	1	0
399	6220	1	1	1
185	6220	0	0	0
356	6218	1	1	1
356	6219	0	0	0
393	6218	1	1	1
352	6218	1	1	1
352	6221	1	0	0
393	6221	1	1	1
58	6117	1	1	1
211	6218	1	1	1
211	6219	1	1	1
211	6170	1	1	1
371	6218	1	1	1
371	6219	0	0	0
39	6218	1	1	1
39	6219	1	1	1
39	6168	1	1	1
157	6219	1	1	1
357	6219	1	1	1
22	6218	1	1	1
424	6119	1	1	1
84	6119	1	1	1
125	6251	0	0	0
399	6251	1	1	1
52	6219	1	1	1
356	6251	1	1	1
185	6251	1	1	1
91	6221	1	1	1
197	6219	0	0	0
382	6219	1	1	1
417	6125	1	1	1
421	6348	1	1	1
313	6287	1	1	1
20	6364	1	1	1
198	6287	1	1	1
373	6287	1	1	1
312	6369	1	1	1
417	6287	0	0	0
417	6369	1	1	1
417	6370	1	1	1
175	6219	1	1	1
6	6287	1	1	1
309	6221	1	1	1
309	6371	1	1	1
3	6321	1	1	1
58	6377	1	1	1
114	6377	1	1	1
26	6404	1	1	1
26	6403	1	1	1
26	6406	1	1	0
26	6405	1	1	1
161	6410	1	1	0
161	6409	1	1	1
161	6413	1	1	1
161	6412	1	1	1
161	6411	1	1	1
161	6415	1	1	1
161	6414	1	1	1
161	6417	1	1	1
161	6416	1	1	1
161	6418	1	1	1
49	6294	1	1	1
146	6372	1	1	1
230	6381	1	1	1
146	6381	1	1	1
230	6376	1	1	1
146	6376	1	0	0
408	6299	1	1	1
408	6311	1	1	1
408	6360	1	1	1
91	6398	1	1	1
91	6408	0	0	0
408	6349	1	1	1
408	6300	1	1	1
408	6350	1	1	1
408	6361	1	1	1
312	6372	1	1	1
380	6399	1	1	1
111	6338	1	1	1
111	6335	1	1	1
111	6306	1	1	1
111	6329	1	1	1
261	6399	0	0	0
399	6399	1	1	1
185	6399	1	1	1
125	6399	1	1	1
415	6424	1	1	1
417	6398	1	1	1
417	6379	1	1	1
417	6391	0	0	0
417	6373	1	1	1
248	6391	1	1	1
91	6400	1	0	0
15	6400	1	1	1
62	6400	1	0	0
417	6375	0	0	0
417	6382	1	0	0
417	6380	1	1	1
53	6378	0	0	0
53	6373	1	1	1
53	6374	1	1	1
53	6379	1	1	1
53	6382	1	1	1
3	6351	1	1	1
230	6445	1	1	1
264	6400	0	0	0
96	6400	1	1	1
245	6447	1	1	1
15	6438	1	1	1
15	6440	1	1	1
62	6438	1	1	1
62	6440	1	0	0
156	6438	1	1	1
211	6320	1	1	1
211	6340	1	1	1
19	6504	1	1	1
19	6505	1	1	1
19	6506	1	1	1
245	6510	1	1	1
258	6510	1	1	1
126	6510	1	1	1
412	6513	0	0	0
132	6513	1	1	1
412	6512	1	1	1
132	6512	1	1	0
309	6514	1	1	1
65	6514	1	1	1
309	6515	1	1	1
65	6515	0	0	0
68	6515	1	1	1
68	6514	1	1	1
113	6437	1	1	1
408	6314	1	1	1
408	6363	1	1	1
408	6302	1	1	1
216	6437	1	1	1
309	6375	1	1	1
248	6441	1	1	1
58	6438	1	1	1
103	6438	1	1	1
103	6440	1	1	1
312	6554	1	1	1
425	6554	0	0	0
3	6346	0	0	0
3	6352	1	1	1
393	6520	1	1	1
393	6549	1	1	1
114	6441	1	1	1
114	6442	1	1	1
91	6531	1	1	1
417	6507	1	1	1
417	6508	1	1	1
417	6399	0	0	0
429	6599	1	1	1
429	6598	1	1	1
110	6546	1	1	1
110	6535	1	1	0
110	6547	1	1	1
182	6546	1	1	1
182	6535	1	1	1
182	6547	1	0	0
157	6517	1	0	0
52	6550	0	0	0
350	6550	1	1	1
380	6555	1	1	1
53	6375	1	1	1
96	6549	1	1	1
96	6539	1	1	0
96	6543	1	1	1
313	6517	1	1	1
222	6518	1	1	1
6	6555	1	1	1
248	6442	0	0	0
382	6557	0	0	0
154	6557	1	1	0
197	6557	1	1	1
303	6555	1	1	1
303	6536	1	1	1
20	6635	1	1	1
313	6636	1	1	1
409	6636	1	1	1
78	6639	1	1	1
78	6638	1	1	1
78	6642	1	1	1
78	6641	0	0	0
78	6640	1	1	1
111	6629	1	1	1
111	6627	1	1	1
111	6555	1	1	1
114	6548	1	1	0
114	6547	1	1	1
114	6552	1	1	1
114	6541	1	1	1
58	6442	0	0	0
91	6553	1	1	1
342	6623	1	1	1
342	6624	1	1	1
342	6630	1	1	1
425	6646	1	1	1
312	6646	1	1	1
312	6645	1	1	1
425	6645	1	1	1
68	6647	1	1	1
38	6647	1	1	1
414	6650	1	1	0
38	6650	1	1	1
309	6650	1	1	1
38	6649	1	1	1
414	6649	1	0	0
309	6649	1	1	1
38	6648	1	1	1
414	6648	1	1	1
309	6648	1	1	1
38	6651	1	1	1
414	6651	1	1	1
309	6651	1	1	1
38	6655	1	0	0
38	6654	0	0	0
380	6518	1	0	0
408	6603	1	1	1
408	6609	1	1	1
408	6615	1	1	1
408	6604	0	0	0
408	6610	1	1	1
408	6616	1	1	1
408	6605	1	1	1
93	6522	0	0	0
20	6656	1	1	1
20	6657	1	1	1
312	6658	1	1	1
425	6658	1	1	1
20	6659	0	0	0
311	6644	1	1	1
218	6644	1	1	1
121	6644	0	0	0
250	6644	1	1	1
156	6644	1	1	1
50	6644	1	1	1
242	6644	1	1	1
114	6537	1	1	1
114	6545	1	1	1
58	6548	1	1	1
111	6634	1	1	1
315	6530	1	1	1
315	6551	0	0	0
174	6553	1	1	1
174	6537	1	1	1
174	6541	1	1	1
174	6545	0	0	0
258	6697	1	1	1
245	6697	1	1	1
126	6697	1	1	1
380	6692	1	1	1
380	6689	1	0	0
6	6692	1	1	1
6	6689	0	0	0
109	6692	1	1	1
109	6696	1	0	0
15	6703	0	0	0
15	6702	1	1	1
15	6701	1	0	0
15	6700	1	1	1
15	6699	1	1	1
15	6708	1	1	1
15	6707	1	1	1
15	6706	0	0	0
15	6705	0	0	0
15	6704	1	1	1
65	6733	1	1	1
68	6733	1	1	1
84	6621	1	1	1
40	6734	1	1	1
249	6736	1	1	1
249	6735	1	1	1
140	6737	1	1	0
44	6737	1	1	1
44	6738	1	1	1
140	6738	1	1	1
380	6709	1	1	1
380	6710	1	1	1
130	6747	0	0	0
71	6747	1	1	1
130	6748	1	1	1
71	6748	1	0	0
130	6749	1	1	1
71	6749	1	1	1
130	6750	1	1	1
71	6750	1	0	0
130	6745	1	1	1
71	6745	1	1	1
130	6744	1	1	1
