id	datum	kezdes	hossz	maxletszam	tevekenysegid
5948	2016.09.02	16:00:00	3	1	52
5949	2016.09.09	16:00:00	3	1	52
5950	2016.09.16	16:00:00	3	1	52
5951	2016.09.23	16:00:00	3	1	52
5952	2016.09.30	16:00:00	3	1	52
5953	2016.09.03	10:00:00	3	1	52
5954	2016.09.10	10:00:00	3	1	52
5955	2016.09.17	10:00:00	3	1	52
5956	2016.09.24	10:00:00	3	1	52
5957	2016.10.01	10:00:00	3	1	52
5958	2016.09.03	14:00:00	3	1	52
5959	2016.09.10	14:00:00	3	1	52
5960	2016.09.17	14:00:00	3	1	52
5961	2016.09.24	14:00:00	3	1	52
5962	2016.10.01	14:00:00	3	1	52
5963	2016.09.03	17:00:00	3	1	52
5964	2016.09.10	17:00:00	3	1	52
5965	2016.09.17	17:00:00	3	1	52
5966	2016.09.24	17:00:00	3	1	52
5967	2016.10.01	17:00:00	3	1	52
5968	2016.09.04	10:00:00	3	1	52
5969	2016.09.11	10:00:00	3	1	52
5970	2016.09.18	10:00:00	3	1	52
5971	2016.09.25	10:00:00	3	1	52
5972	2016.10.02	10:00:00	3	1	52
5983	2016.09.02	16:00:00	3	1	52
5984	2016.09.09	16:00:00	3	1	52
5985	2016.09.16	16:00:00	3	1	52
5986	2016.09.23	16:00:00	3	1	52
5987	2016.09.30	16:00:00	3	1	52
5988	2016.09.03	10:00:00	3	1	52
5989	2016.09.10	10:00:00	3	1	52
5990	2016.09.17	10:00:00	3	1	52
5991	2016.09.24	10:00:00	3	1	52
5992	2016.10.01	10:00:00	3	1	52
5993	2016.09.03	14:00:00	3	1	52
5994	2016.09.10	14:00:00	3	1	52
5995	2016.09.17	14:00:00	3	1	52
5996	2016.09.24	14:00:00	3	1	52
5997	2016.10.01	14:00:00	3	1	52
5998	2016.09.03	17:00:00	3	1	52
5999	2016.09.10	17:00:00	3	1	52
6000	2016.09.17	17:00:00	3	1	52
6001	2016.09.24	17:00:00	3	1	52
6002	2016.10.01	17:00:00	3	1	52
6003	2016.09.04	10:00:00	3	1	52
6004	2016.09.11	10:00:00	3	1	52
6005	2016.09.18	10:00:00	3	1	52
6006	2016.09.25	10:00:00	3	1	52
6007	2016.10.02	10:00:00	3	1	52
5977	2016.10.02	13:00:00	3	1	52
5982	2016.10.02	16:00:00	3	1	52
6012	2016.10.02	13:00:00	3	1	52
6017	2016.10.02	16:00:00	3	1	52
5976	2016.09.25	13:00:00	3	1	52
5981	2016.09.25	16:00:00	3	1	52
6011	2016.09.25	13:00:00	3	1	52
6016	2016.09.25	16:00:00	3	1	52
5975	2016.09.18	13:00:00	3	1	52
5980	2016.09.18	16:00:00	3	1	52
6010	2016.09.18	13:00:00	3	1	52
6015	2016.09.18	16:00:00	3	1	52
5974	2016.09.11	13:00:00	3	1	52
5979	2016.09.11	16:00:00	3	1	52
6009	2016.09.11	13:00:00	3	1	52
6014	2016.09.11	16:00:00	3	1	52
5973	2016.09.04	13:00:00	3	1	52
5978	2016.09.04	16:00:00	3	1	52
6008	2016.09.04	13:00:00	3	1	52
6013	2016.09.04	16:00:00	3	1	52
6041	2016.09.06	15:00:00	2	1	20
6042	2016.09.13	15:00:00	2	1	20
6043	2016.09.20	15:00:00	2	1	20
6044	2016.09.07	14:00:00	2	1	20
6045	2016.09.09	17:00:00	2	1	20
6046	2016.09.16	17:00:00	2	1	20
6047	2016.09.15	16:00:00	2	1	24
6048	2016.09.22	16:00:00	2	1	24
6049	2016.09.19	15:00:00	2	1	20
6114	2016.09.16	16:30:00	2	2	21
6115	2016.09.23	16:30:00	2	2	21
6116	2016.09.30	16:30:00	2	2	21
6117	2016.10.07	16:30:00	2	2	21
6118	2016.10.14	16:30:00	2	2	21
6119	2016.10.21	16:30:00	2	2	21
6120	2016.09.18	8:30:00	2	2	21
6121	2016.09.25	8:30:00	2	2	21
6122	2016.10.02	8:30:00	2	2	21
6123	2016.10.09	8:30:00	2	2	21
6124	2016.10.16	8:30:00	2	2	21
6125	2016.10.23	8:30:00	2	2	21
6163	2016.10.13	15:00:00	3	6	31
6164	2016.10.20	15:00:00	3	6	31
6165	2016.11.10	15:00:00	3	6	31
6166	2016.11.17	15:00:00	3	6	31
6167	2016.11.18	15:00:00	3	6	31
6168	2016.11.24	15:00:00	3	6	31
6169	2016.11.18	15:00:00	3	6	31
6170	2016.11.24	15:00:00	3	6	31
6198	2016.10.01	13:00:00	3	1	51
6217	2016.09.30	14:30:00	3	3	3
6218	2016.12.03	15:00:00	2	10	31
6219	2016.12.04	7:00:00	3	10	31
6220	2016.12.04	10:00:00	3	6	31
6221	2016.12.04	13:00:00	2	10	31
6251	2016.10.16	12:00:00	4	4	20
6287	2016.11.09	15:30:00	1	5	29
6292	2016.10.21	16:00:00	3	1	52
6293	2016.10.28	16:00:00	3	1	27
6294	2016.11.04	16:00:00	3	1	27
6295	2016.11.11	16:00:00	3	1	27
6296	2016.11.18	16:00:00	3	1	27
6297	2016.10.21	16:00:00	3	1	52
6298	2016.10.28	16:00:00	3	1	52
6299	2016.11.04	16:00:00	3	1	52
6300	2016.11.11	16:00:00	3	1	52
6301	2016.11.18	16:00:00	3	1	52
6302	2016.11.25	16:00:00	3	1	52
6303	2016.10.22	10:00:00	3	1	52
6304	2016.10.29	10:00:00	3	1	52
6305	2016.11.05	10:00:00	3	1	52
6306	2016.11.12	10:00:00	3	1	52
6307	2016.11.19	10:00:00	3	1	52
6308	2016.11.26	10:00:00	3	1	52
6309	2016.10.22	13:00:00	3	1	52
6310	2016.10.29	13:00:00	3	1	52
6311	2016.11.05	13:00:00	3	1	52
6312	2016.11.12	13:00:00	3	1	52
6313	2016.11.19	13:00:00	3	1	52
6314	2016.11.26	13:00:00	3	1	52
6315	2016.10.22	16:00:00	3	1	52
6316	2016.10.29	16:00:00	3	1	52
6317	2016.11.05	16:00:00	3	1	52
6318	2016.11.12	16:00:00	3	1	52
6319	2016.11.19	16:00:00	3	1	52
6320	2016.11.26	16:00:00	3	1	52
6321	2016.10.30	10:00:00	3	1	52
6322	2016.11.06	10:00:00	3	1	52
6323	2016.11.13	10:00:00	3	1	52
6324	2016.11.20	10:00:00	3	1	52
6325	2016.11.27	10:00:00	3	1	52
6326	2016.10.30	10:00:00	3	1	52
6327	2016.11.06	10:00:00	3	1	52
6328	2016.11.13	10:00:00	3	1	52
6329	2016.11.20	10:00:00	3	1	52
6330	2016.11.27	10:00:00	3	1	52
6331	2016.10.30	13:00:00	3	1	27
6332	2016.11.06	13:00:00	3	1	27
6333	2016.11.13	13:00:00	3	1	27
6334	2016.11.20	13:00:00	3	1	27
6335	2016.11.27	13:00:00	3	1	27
6336	2016.10.30	16:00:00	3	1	52
6337	2016.11.06	16:00:00	3	1	52
6338	2016.11.13	16:00:00	3	1	52
6339	2016.11.20	16:00:00	3	1	52
6340	2016.11.27	16:00:00	3	1	52
6341	2016.10.22	10:00:00	3	1	52
6342	2016.10.29	10:00:00	3	1	52
6343	2016.11.05	10:00:00	3	1	52
6344	2016.11.12	10:00:00	3	1	52
6345	2016.11.19	10:00:00	3	1	52
6346	2016.11.26	10:00:00	3	1	52
6347	2016.10.22	13:00:00	3	1	52
6348	2016.10.29	13:00:00	3	1	52
6349	2016.11.05	13:00:00	3	1	52
6350	2016.11.12	13:00:00	3	1	52
6351	2016.11.19	13:00:00	3	1	52
6352	2016.11.26	13:00:00	3	1	52
6353	2016.10.22	16:00:00	3	1	52
6354	2016.10.29	16:00:00	3	1	52
6355	2016.11.05	16:00:00	3	1	52
6356	2016.11.12	16:00:00	3	1	52
6357	2016.11.19	16:00:00	3	1	52
6358	2016.11.26	16:00:00	3	1	52
6359	2016.10.30	13:00:00	3	1	52
6360	2016.11.06	13:00:00	3	1	52
6361	2016.11.13	13:00:00	3	1	52
6362	2016.11.20	13:00:00	3	1	52
6363	2016.11.27	13:00:00	3	1	52
6364	2016.10.30	16:00:00	3	1	52
6365	2016.11.06	16:00:00	3	1	52
6366	2016.11.13	16:00:00	3	1	52
6367	2016.11.20	16:00:00	3	1	52
6368	2016.11.27	16:00:00	3	1	52
6377	2016.11.11	16:30:00	2	2	21
6378	2016.11.18	16:30:00	2	2	21
